"merge","cubes","ash","fomo","lp","other","q2","q3","q4","q4open","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q9open"
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,NA,NA,"5-10 ETH","2","Classes will compete against other classes",NA,NA,"During Q3 2022 (Jul-Sep)","Agree",NA,"Artist commitment to ASH ecosystem",45,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"10-50 ETH","1","I do not have a theory on classes",NA,"Ash as a function of mass and merges","During or After Q4 2022 (Oct-Dec)","Agree","30000","Innovative application of Web 3.0 technology",31,"Less than 25 percent","6 to 10 hours","10","Does not matter",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"Something like a yield farm?","During Q3 2022 (Jul-Sep)","Agree","19000","Innovative application of Web 3.0 technology",106,"Between 25 and 50 percent","6 to 10 hours","8","Net positive",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","Tokens in a class will compete against each other",NA,"The gravity of your merge based on its mass will determine which/how many nfts you get","During Q3 2022 (Jul-Sep)","Agree","35000","Artist commitment to ASH ecosystem",2,"Between 50 and 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","2","Other (please explain your class theory)","Classes will help your mass token to access different nfts from mass.black","Nfts redeemable from different traits, could be classes (either individual class or more broad like odds/evens), mass amount and traits (yellow, blue, red, alpha) each will be able to access and purchase different nfts which can be bought and collected or burned for different levels of ash","During Q2 2022 (Apr-Jun)","Agree","18222","Other (please specify)",112,"Less than 25 percent","11 to 20 hours","10","Net positive","Open to many options, Artist, Aesthetics or functionality "
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Classes will compete against other classes",NA,"Ash gains tied to mass consumed","During Q3 2022 (Jul-Sep)","Agree","20000","Innovative application of Web 3.0 technology",97,"Between 25 and 50 percent","6 to 10 hours","9","Does not matter",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)","Song of Nine Paths, Lee Gaito x Pak Collaboration","10-50 ETH","3","I do not have a theory on classes",NA,"NFT redemption based on the mass size of the merge token in the wallet. New NFT can be burnt for ash with the amount based on the mass size of the original merge token.","During Q2 2022 (Apr-Jun)","Neither agree nor disagree","30000","Straightforward aesthetic appeal",40,"Between 50 and 75 percent","11 to 20 hours","8","Not Sure",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,NA,"During Q3 2022 (Jul-Sep)","Agree","15000","Innovative application of Web 3.0 technology",51,"Between 25 and 50 percent","More than 20 hours","10","Net negative",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","Classes will compete against other classes",NA,"Don't know .. only Pak can Can tell ... ","During Q3 2022 (Jul-Sep)","Agree","2","Artist history of community membership",25,"More than 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)","The Title","10-50 ETH","2","I do not have a theory on classes",NA,"I have no idea tbh. Excited to see it play out. ","During Q2 2022 (Apr-Jun)","Agree","18000","Straightforward aesthetic appeal",6,"Between 25 and 50 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","3","Tokens will compete both within and across classes",NA,"The larger the mass, and the more merges it has, the higher the ASH yield.","The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree","5000","Innovative application of Web 3.0 technology",58,"Less than 25 percent","6 to 10 hours","8","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","50","Tokens in a class will compete against each other",NA,"Prometheus","During Q3 2022 (Jul-Sep)","Neither agree nor disagree","20000","Innovative application of Web 3.0 technology",35,"More than 75 percent","11 to 20 hours","8","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,">100 ETH","2","I do not have a theory on classes",NA,"Simple exchange of mass for burnable NFTs. Tough decisions all around. ","During Q2 2022 (Apr-Jun)","Agree","20000","Innovative application of Web 3.0 technology",58,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","Classes will compete against other classes",NA,"Every mass after a certain point will be burnable for the same amount of ash","During Q3 2022 (Jul-Sep)","Strongly agree","38000","Expected appreciation on secondary market",51,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","1","I do not have a theory on classes",NA,"More ash for smaller masses","During Q3 2022 (Jul-Sep)","Agree",NA,"Artist commitment to ASH ecosystem",37,"Between 25 and 50 percent","6 to 10 hours","7","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","2","I do not have a theory on classes",NA,NA,"During Q2 2022 (Apr-Jun)","Agree",NA,"Artist commitment to ASH ecosystem",NA,"Less than 25 percent","5 hours or less","9","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","3","Classes will compete against other classes",NA,"No idea","The floor price for mute Poets will never exceed the high tier ASH rate.","Neither agree nor disagree","2000","Artist commitment to ASH ecosystem",78,"More than 75 percent","6 to 10 hours","8","Net negative",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,"not interested in whiling away time speculating","The floor price for mute Poets will never exceed the high tier ASH rate.","Neither agree nor disagree",NA,"Innovative application of Web 3.0 technology",103,"More than 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)","pages, urn","50-100 ETH","2","I do not have a theory on classes",NA,"have to merge before you are able to burn but that seems too simple but pak loves simplicity","The floor price for mute Poets will never exceed the high tier ASH rate.","Disagree","10000","Other (please specify)",103,"Between 25 and 50 percent","6 to 10 hours","10","Does not matter","any artist that wants to sell their art nft or game in ash should be welcome the del entitlement superior attitude is not welcoming "
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)","Fusion , & Extrusion ","50-100 ETH","2","Tokens will compete both within and across classes",NA,"?","During or After Q4 2022 (Oct-Dec)","Strongly agree",NA,"Innovative application of Web 3.0 technology",65,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"Holders may be able to reduce their mass by small increments in exchange for another token, which will be burnable for ash","During Q3 2022 (Jul-Sep)","Agree","20000","Artist history of community membership",65,"More than 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,NA,"The floor price for mute Poets will never exceed the high tier ASH rate.","Neither agree nor disagree","35000","Straightforward aesthetic appeal",31,"Between 50 and 75 percent","More than 20 hours","10","Not Sure",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","1","Other (please explain your class theory)","I believe they are just a random method of grouping, designed with the intention of allowing Pak to let groups mint stuff one at a time, preventing gas wars.","I think the redemption total will be somewhat proportional to the public mint price per mass, ultimately not yielding much ASH","During or After Q4 2022 (Oct-Dec)","Strongly disagree",NA,"Artist commitment to ASH ecosystem",65,"More than 75 percent","More than 20 hours","7","Net positive",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,NA,"During Q3 2022 (Jul-Sep)","Strongly agree","30000","Expected appreciation on secondary market",31,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","4","Other (please explain your class theory)","there will be additional claimable nfts by mass size but my guess is there will be a fixed amount of claimable nfts defined by initial total size of each class. each merge token willhave a chance to claim the fixed supply with the larger mass tokens having a higher frequency. as merge classes lose tokens, the existing ones will become more valuable as they are able to potentially claim more nfts from the fixed original supply.","you will connect your wallet with merge token and it will show you if you have any nfts available to claim. i think there will be available nfts claimable for every merge token with smaller mass sizes having a longer vesting period. i also think there will be fixed amount of claimable nfts at each impossible number to reward all mass sizes.","During Q3 2022 (Jul-Sep)","Strongly agree","10000","Artist commitment to ASH ecosystem",74,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH",NA,"Classes will compete against other classes",NA,NA,"During Q3 2022 (Jul-Sep)","Agree","8000",NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,NA,NA,NA,NA,"<5 ETH","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,NA,NA,NA,NA,"<5 ETH","1","I do not have a theory on classes",NA,NA,"The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree",NA,"Innovative application of Web 3.0 technology",69,"Less than 25 percent","5 hours or less","10","Not Sure",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"5-10 ETH","3","I do not have a theory on classes",NA,"No idea","During or After Q4 2022 (Oct-Dec)","Strongly agree","10000","Innovative application of Web 3.0 technology",51,"Less than 25 percent","More than 20 hours","10","Net positive",NA
NA,"The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"50-100 ETH","2","Classes will compete against other classes",NA,NA,"During Q3 2022 (Jul-Sep)","Strongly agree","15000","Artist commitment to ASH ecosystem",86,"More than 75 percent","6 to 10 hours","10","Not Sure",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"N/A","During Q2 2022 (Apr-Jun)","Strongly agree","9500","Artist history of community membership",65,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)","The Title, The Collision","Not Sure","3","I do not have a theory on classes",NA,"mechanism whereby Merge nft criteria are met and exchanged for a Mass.black ash nft or the like. Not sure on what the merge nft criteria might be","During Q3 2022 (Jul-Sep)","Agree","35000","Innovative application of Web 3.0 technology",109,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,">100 ETH","3","Classes will compete against other classes",NA,NA,"During or After Q4 2022 (Oct-Dec)","Strongly agree","35000","Artist commitment to ASH ecosystem",115,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,"Unsure ","During Q3 2022 (Jul-Sep)","Agree","22000","Innovative application of Web 3.0 technology",65,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,NA,"During Q2 2022 (Apr-Jun)","Neither agree nor disagree",NA,"Artist commitment to ASH ecosystem",NA,"Less than 25 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"Not Sure","1","Other (please explain your class theory)","Race to least editions per class. Forming DAOs encouraged","Formula. Must merge X times to burn. ASH = Y * Mass","During or After Q4 2022 (Oct-Dec)","Strongly agree","30000","Innovative application of Web 3.0 technology",2,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","3","I do not have a theory on classes",NA,"🤯","During Q3 2022 (Jul-Sep)","Disagree","25000","Artist commitment to ASH ecosystem",10,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH",NA,"Tokens in a class will compete against each other",NA,NA,"During Q3 2022 (Jul-Sep)","Neither agree nor disagree",NA,"Artist commitment to ASH ecosystem",NA,NA,NA,NA,NA,NA
NA,"The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","1","I do not have a theory on classes",NA,"No idea","During Q3 2022 (Jul-Sep)","Agree","20000","Expected appreciation on secondary market",68,"Between 50 and 75 percent","11 to 20 hours","7","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","2","Tokens in a class will compete against each other",NA,"progressive pricing according to mass","During Q3 2022 (Jul-Sep)","Strongly agree","15000","Other (please specify)",31,"More than 75 percent","More than 20 hours","10","Net positive","Mix of all"
"Merge (Mass)",NA,NA,NA,NA,NA,"<5 ETH","1","I do not have a theory on classes",NA,"Mass to ash ","During Q2 2022 (Apr-Jun)","Neither agree nor disagree","17000","Innovative application of Web 3.0 technology",89,"More than 75 percent","5 hours or less","7","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)","The Narcissus, The Title, The Collision ",">100 ETH","3","I do not have a theory on classes",NA,NA,"During Q2 2022 (Apr-Jun)","Strongly agree","30000","Artist history of community membership",106,"Between 25 and 50 percent","6 to 10 hours","10","Does not matter",NA
NA,NA,NA,NA,NA,NA,"<5 ETH","1","I do not have a theory on classes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,NA,"During or After Q4 2022 (Oct-Dec)","Disagree","18000","Artist commitment to ASH ecosystem",58,"More than 75 percent","6 to 10 hours","9","Not Sure",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"It will be based on needing a certain round number (10, 20, 30, etc) to be able to claim ASH, which will drive activity to buy/sell your Mass.","The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree","10000","Expected appreciation on secondary market",8,"Less than 25 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"50-100 ETH","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"50-100 ETH","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","Classes will compete against other classes",NA,"Top tier for colors and lower tier for white","The floor price for mute Poets will never exceed the high tier ASH rate.","Disagree","6000","Other (please specify)",60,"Between 50 and 75 percent","More than 20 hours","10","Net positive","Combination of all of these "
"Merge (Mass)",NA,NA,NA,NA,NA,"<5 ETH","1","Tokens in a class will compete against each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,">100 ETH","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","1","Classes will compete against other classes",NA,"Increasing ASH based on the number of merges and total mass","The floor price for mute Poets will never exceed the high tier ASH rate.","Neither agree nor disagree","10000","Innovative application of Web 3.0 technology",91,"Between 25 and 50 percent","5 hours or less","10","Not Sure",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","2","I do not have a theory on classes",NA,"A certain m(n), ie m50 will be top tier burnable for $ash","Before or During Q1 2022 (Jan-Mar)","Agree","9500","Other (please specify)",19,"Between 25 and 50 percent","5 hours or less","5","Not Sure","Established NFT artist such as Beeple, MDJ, Pop Wonder, Fewocious"
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"Some type of staking. ","During or After Q4 2022 (Oct-Dec)","Agree","18000","Straightforward aesthetic appeal",11,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","Tokens in a class will compete against each other",NA,"Who knows? ","The floor price for mute Poets will never exceed the high tier ASH rate.",NA,"25000","Innovative application of Web 3.0 technology",14,"Between 50 and 75 percent","11 to 20 hours","3","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","Classes will compete against other classes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","3","Other (please explain your class theory)","i think classes represent timing or the order that the unknown mechanism will apply to the mass and that it will be a slow rollout. so having either a very low class or a very high class will be beneficial (e.g. the bridge game from squid game when the players had to choose a number)","i think mass may be a ticket to redeem nfts that were burned through burn.art in a lottery fashion (pak has already shown that he can ""unburn"" an NFT)","Before or During Q1 2022 (Jan-Mar)","Agree","30000","Artist commitment to ASH ecosystem",15,"Not Sure","5 hours or less","10","Net positive",NA
"Merge (Mass)",NA,NA,NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"Not worth trying to guess what Pak is going to do...","During or After Q4 2022 (Oct-Dec)","Agree","20000","Artist history of community membership",NA,"Between 25 and 50 percent","5 hours or less","5","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,">100 ETH","2","I do not have a theory on classes",NA,"no idea","The floor price for mute Poets will never exceed the high tier ASH rate.","Disagree","5000","Innovative application of Web 3.0 technology",18,"Between 50 and 75 percent","More than 20 hours","10","Not Sure",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)","The title, The flipper","50-100 ETH","2","I do not have a theory on classes",NA,NA,"During or After Q4 2022 (Oct-Dec)","Agree",NA,"Innovative application of Web 3.0 technology",77,"Between 25 and 50 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Tokens will compete both within and across classes",NA,NA,"During Q2 2022 (Apr-Jun)","Strongly agree","30000","Innovative application of Web 3.0 technology",65,"Between 50 and 75 percent","6 to 10 hours","8","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)","(Burned cube)","5-10 ETH","2","I do not have a theory on classes",NA,"Only prime numbers of mass amount can generate nfts to burn","During or After Q4 2022 (Oct-Dec)","Agree","29000","Straightforward aesthetic appeal",35,"Between 50 and 75 percent","5 hours or less","7","Net positive",NA
NA,"The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"not interested in merge","The floor price for mute Poets will never exceed the high tier ASH rate.","Agree","30000","Other (please specify)",41,"More than 75 percent","More than 20 hours","10","Net positive","would be nice if it could be re-sold in ash only forever"
"Merge (Mass)",NA,NA,NA,NA,NA,"<5 ETH","2","Classes will compete against other classes",NA,"curious myself","The floor price for mute Poets will never exceed the high tier ASH rate.","Agree","7000","Artist history of community membership",106,"Less than 25 percent","6 to 10 hours","10","Does not matter",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"Not at all sure. Likely would be burn for more ash based on mass but that seems too straightforward ","The floor price for mute Poets will never exceed the high tier ASH rate.","Disagree","20000","Expected appreciation on secondary market",31,"Between 50 and 75 percent","6 to 10 hours","8","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","1","I do not have a theory on classes",NA,NA,"The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"Not Sure","5","I do not have a theory on classes",NA,"?","During or After Q4 2022 (Oct-Dec)","Strongly agree","10000","Expected appreciation on secondary market",103,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","2","I do not have a theory on classes",NA,"Im thinking something related to the burning of an m(x) by merging it with another. So lets say each m(1) = low tier, so if I merge an m(5) with an m(2), I get an m(7) and I can also claim 2 x low tier ASH for that m(7).  Today low tier is at .6, so burning m(1091) would give you the equivalent high tier ASH. This incentivizes merging + secondary","During Q2 2022 (Apr-Jun)","Agree","20000","Artist commitment to ASH ecosystem",65,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","1","Other (please explain your class theory)","Class will be used for varying redemption value and be incentive to exit Merge via burning (rather than merging)","No idea at this time. ","The floor price for mute Poets will never exceed the high tier ASH rate.","Neither agree nor disagree","3700","Straightforward aesthetic appeal",111,"Less than 25 percent","5 hours or less","7","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","2","Classes will compete against other classes",NA,"A type of economy for the pakverse, guessing burning nfts will also play into it. Otherwise, I have no clue, I'm excited to find out though!","During Q2 2022 (Apr-Jun)","Strongly agree","10000","Artist commitment to ASH ecosystem",9,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,NA,NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","Tokens in a class will compete against each other",NA,"maybe by holding merge, you will be able to unlock specific clues based on the characteristics of your nft. the clues could be shared or not, in order to allow one to be able to mint.","During Q2 2022 (Apr-Jun)","Neither agree nor disagree","20000","Straightforward aesthetic appeal",42,"Between 25 and 50 percent","6 to 10 hours","8","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"A % of ash compared to other work based on the number of mass","The floor price for mute Poets will never exceed the high tier ASH rate.","Disagree","15000","Expected appreciation on secondary market",84,"Between 25 and 50 percent","More than 20 hours","8","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","3","I do not have a theory on classes",NA,"Unknown","The floor price for mute Poets will never exceed the high tier ASH rate.","Agree","10000","Innovative application of Web 3.0 technology",93,"Less than 25 percent","5 hours or less","6","Net negative",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Classes will compete against other classes",NA,"Depending on the size of the merge and the class and rarity","During Q3 2022 (Jul-Sep)","Strongly agree","30000","Artist commitment to ASH ecosystem",51,"Between 50 and 75 percent","11 to 20 hours","10","Not Sure",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","Other (please explain your class theory)","Random set of attributes are selected for eligibility, masses which meet the criteria can !claim. Class is one such attribute.","Redeem burnable NFTs, your mass remains unaffected.","During Q2 2022 (Apr-Jun)","Agree","35000","Innovative application of Web 3.0 technology",12,"More than 75 percent","More than 20 hours","10","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","I do not have a theory on classes",NA,NA,"During or After Q4 2022 (Oct-Dec)","Strongly agree","19000","Innovative application of Web 3.0 technology",31,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,">100 ETH","2","I do not have a theory on classes",NA,NA,"The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree",NA,"Straightforward aesthetic appeal",NA,"Between 25 and 50 percent","6 to 10 hours","10","Does not matter",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)","I just wanted to say I had a cube but burnt it","10-50 ETH","4","Classes will compete against other classes",NA,"Honestly I have no idea ","During Q3 2022 (Jul-Sep)","Agree","30000","Innovative application of Web 3.0 technology",40,"Between 50 and 75 percent","6 to 10 hours","10","Net negative",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,NA,NA,"5-10 ETH","2","I do not have a theory on classes",NA,"Claimable NFT’s will be burnable","During Q3 2022 (Jul-Sep)","Strongly agree","20000","Innovative application of Web 3.0 technology",48,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,">100 ETH","999","I do not have a theory on classes",NA,"Send mass to the black hole to receive  NFTs. Those NFTs are burnable. ","During or After Q4 2022 (Oct-Dec)","Strongly agree","30000","Artist commitment to ASH ecosystem",80,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)","Extrusion","50-100 ETH","2","I do not have a theory on classes",NA,"Equal for all other than alpha","During or After Q4 2022 (Oct-Dec)","Strongly agree","10000","Artist commitment to ASH ecosystem",31,"Between 25 and 50 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","2","I do not have a theory on classes",NA,"Exponentially increase of ash bonus depending on the amount of mass.   This would be a reason to create one alpha because everyone would get more bonus who joins. ","During Q3 2022 (Jul-Sep)","Strongly agree","36000","Artist history of community membership",58,"Between 50 and 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)","omnomnom","10-50 ETH","2","Tokens will compete both within and across classes",NA,"I believe that rewards will be similar  to the effects of Hawking radiation!","During or After Q4 2022 (Oct-Dec)","Strongly agree","8000","Artist history of community membership",38,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"5-10 ETH","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","2","I do not have a theory on classes",NA,"Unsure. I would be hesitant to believe that there will be any direct redemption mechanism for mass (burning) as that may incentivize the larger masses to burn and then dump for ETH hurting ASH liquidity. ","During Q2 2022 (Apr-Jun)","Strongly agree","0","Artist commitment to ASH ecosystem",122,"Less than 25 percent","5 hours or less","8","Does not matter",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)","Collab-Nine Songs","10-50 ETH","2","I do not have a theory on classes",NA,"A tiered system with a minimum mass to become burnable. ","During Q3 2022 (Jul-Sep)","Strongly agree","18000","Artist commitment to ASH ecosystem",26,"More than 75 percent","6 to 10 hours","10","Net positive",NA
